time,size,cost_min,path_min
0.000123023986816,4,13168,1-3-2-4-1
0.000144958496094,5,13880,1-3-5-2-4-1
0.000174045562744,6,18711,1-3-5-2-4-6-1
0.000130891799927,7,19117,1-3-5-2-4-7-6-1
0.000200986862183,8,20217,1-8-3-5-2-4-7-6-1
0.000191926956177,9,20784,1-9-7-6-8-3-5-2-4-1
0.000234127044678,10,21477,1-9-7-6-8-3-5-2-4-10-1
0.000289916992188,11,22776,1-9-7-6-8-3-11-5-2-4-10-1
0.000426054000854,12,23471,1-9-8-3-11-12-7-6-5-2-4-10-1
0.000468969345093,13,23472,1-9-8-3-11-12-7-6-13-5-2-4-10-1
0.000524044036865,14,24802,1-9-8-3-14-13-11-12-7-6-5-2-4-10-1
0.000686883926392,15,23842,1-9-15-12-11-13-14-3-5-2-4-10-7-6-8-1
0.000771999359131,16,24758,1-9-15-12-11-13-14-5-2-4-10-7-6-8-16-3-1
0.00104999542236,17,26208,1-9-15-12-11-13-14-5-2-4-10-7-6-17-8-16-3-1
0.00119495391846,18,26238,1-9-15-12-11-13-14-5-2-4-10-18-7-6-17-8-16-3-1
0.00115489959717,19,26281,1-9-15-12-11-13-14-5-2-4-10-18-7-6-19-17-8-16-3-1
0.00142812728882,20,26331,1-9-15-12-11-13-14-5-2-4-10-20-18-7-6-19-17-8-16-3-1
0.00153207778931,21,26360,1-9-15-12-11-13-14-5-2-4-10-21-20-18-7-6-19-17-8-16-3-1
